name,wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
org.apache.ivy.core.IvyPatternHelper,1,2,1,29,17,298,6,38,0,1.5075932,123,1.0,0,0.0,0.1946427,0,0,34.399316,6,2.278668,0
org.apache.ivy.plugins.lock.AbstractLockStrategy,11,1,2,24,169,34,1,10,12,1.3019145,122,1.0,1,0.0,0.3866965,0,0,4.108308,1,0.307181,0
org.apache.ivy.plugins.circular.ErrorCircularDependencyStrategy,5,2,0,17,12,16,30,2,3,1.3896051,145,0.0,0,0.0,0.6273069,0,0,15.965031,1,0.64229,0
org.apache.ivy.core.settings.IvyVariableContainer,4,1,0,11,61,32,8,1,2,1.1073985,175,1.0,1,0.2817435,0.8203694,0,0,17.354208,4,0.718996,0
org.apache.ivy.plugins.resolver.util.ResourceMDParser,6,1,0,74,7,3,3,1,1,1.4404094,1022,0.0,4,0.0,0.8521704,0,0,4.267303,11,0.632321,0
org.apache.ivy.core.module.id.ModuleRevisionId,17,1,0,12,33,135,3,2,2,1.6623416,252,1.0,0,0.0,0.5573009,1,0,52.768297,3,0.942653,0
org.apache.ivy.core.sort.CollectionOfModulesToSort,14,1,2,12,79,28,13,7,4,1.2559672,246,0.0,3,1.0,0.5174169,2,0,39.755709,4,1.251192,1
org.apache.ivy.ant.IvyBuildNumber,9,1,1,11,49,725,11,5,18,1.2868971,166,1.0,2,0.0,0.6797733,0,0,51.190965,25,2.666522,1
org.apache.ivy.util.cli.OptionBuilder,15,1,0,17,32,9,4,22,9,0.4220753,460,1.0,0,0.0,0.5156568,3,0,37.894256,4,0.719227,1
org.apache.ivy.plugins.parser.xml.UpdateOptions,3,3,0,9,24,5,10,2,1,1.8281588,103,0.0,2,0.0,0.5447781,2,6,10.078326,3,1.828526,0
org.apache.ivy.core.NormalRelativeUrlResolver,10,5,17,37,23,44,3,14,4,1.6271941,28,1.0,1,0.9504007,0.4196768,1,0,1.482615,2,0.760967,0
org.apache.ivy.plugins.matcher.MatcherHelper,17,2,1,30,165,1407,15,14,10,1.0824079,430,1.0,2,0.8285321,0.7426856,0,0,40.38524,6,2.02458,1
org.apache.ivy.ant.IvyDeliver,18,1,3,33,13,5,113,2,22,1.4605799,144,1.0,0,0.0,0.4967599,0,0,12.043865,1,1.068836,0
org.apache.ivy.util.url.AbstractURLHandler,45,2,0,42,19,51,1,2,12,1.8031703,38,1.0,4,0.8671827,0.3070109,4,2,6.44859,4,0.452661,0
org.apache.ivy.core.resolve.IvyNodeUsage,7,1,0,22,27,25,5,1,5,1.4487797,54,1.0,0,0.0,0.3167488,0,0,2.03053,10,1.004912,0
org.apache.ivy.util.ConfigurationUtils,36,2,0,26,21,128,2,3,2,1.6151792,224,0.0,0,0.0,0.4133411,0,0,5.320582,1,2.370428,0
org.apache.ivy.tools.analyser.DependencyAnalyser,85,1,0,12,48,11,9,3,12,1.1425643,113,0.0,3,0.0,0.4558562,0,1,7.230191,4,1.96635,0
org.apache.ivy.util.MessageLoggerEngine,30,3,2,28,27,4,14,6,12,1.2050549,495,0.0,2,0.3113864,0.6015774,3,0,3.876652,1,0.242671,0
